id,i,id_container,items_per_container,Stock,Days_Stock_Coverage,name_of_product,CosteStock
1,1,a|b,30|30,1882,3,Front Seat Back Structure LH,1
2,2,a|b,30|30,1881,3,Front Seat Back Structure RH,1
3,3,b,15,1133,3,Front Seat Cushion LH - 4Way,1
4,4,b,15,748,3,Front Seat CushionRH - 4Way,1
5,5,a,12,434,3,Front Seat Cushion LH - 2Way,1
