,id,Products,vA,vB,LargoBox
0,1,10,7,2,1600
1,3,1,7,2,1600
2,7,2,7,2,1600
3,8,10,7,2,1600
4,10,4,7,2,1600
5,11,1,7,2,1600
6,15,6,7,2,1000
