,k,t,i,b,x,y,z,r,Volume
127,1,1,1,b,9800,1200,2000,0,1200000000
128,1,1,2,b,10600,0,0,0,1200000000
129,1,1,1,b,10600,0,1000,0,1200000000
130,1,1,2,b,10600,0,2000,0,1200000000
131,1,1,4,c,0,1600,0,1,1440000000
132,1,1,4,c,0,1600,1000,1,1440000000
133,1,1,4,c,0,1600,2000,1,1440000000
134,1,1,2,b,10800,1200,0,0,1200000000
135,1,1,2,b,10800,1200,1000,0,1200000000
136,1,1,2,b,10800,1200,2000,0,1200000000
137,1,1,4,c,11800,0,0,1,1440000000
138,1,1,4,c,11800,0,1000,1,1440000000
139,1,1,4,c,11800,0,2000,1,1440000000
140,1,1,4,c,11800,800,0,1,1440000000
141,1,1,4,c,11800,800,1000,1,1440000000
142,1,1,4,c,11800,800,2000,1,1440000000
143,1,1,4,c,11800,1600,0,1,1440000000
144,1,1,4,c,11800,1600,1000,1,1440000000
145,1,1,4,c,11800,1600,2000,1,1440000000
146,0,2,8,b,0,0,0,0,1200000000
147,0,2,6,b,0,0,1000,0,1200000000
148,0,2,2,b,0,0,2000,0,1200000000
149,0,2,6,b,0,1200,0,0,1200000000
150,0,2,8,b,0,1200,1000,0,1200000000
151,0,2,6,b,0,1200,2000,0,1200000000
152,0,2,5,a,1000,0,0,1,1440000000
153,0,2,3,a,1000,0,750,1,1440000000
154,0,2,9,a,1000,0,1500,1,1440000000
155,0,2,5,a,1000,0,2250,1,1440000000
156,0,2,3,a,2200,0,0,1,1440000000
157,0,2,9,a,2200,0,750,1,1440000000
158,0,2,5,a,2200,0,1500,1,1440000000
159,0,2,3,a,2200,0,2250,1,1440000000
160,0,2,7,c,1000,1600,0,1,1440000000
161,0,2,10,c,1000,1600,1000,1,1440000000
162,0,2,4,c,1000,1600,2000,1,1440000000
163,0,2,7,c,2800,1600,0,1,1440000000
164,0,2,10,c,2800,1600,1000,1,1440000000
165,0,2,4,c,2800,1600,2000,1,1440000000
166,0,2,5,a,3400,0,0,1,1440000000
167,0,2,3,a,3400,0,750,1,1440000000
168,0,2,5,a,3400,0,1500,1,1440000000
169,0,2,5,a,3400,0,2250,1,1440000000
170,0,2,1,b,4600,0,0,0,1200000000
171,0,2,8,b,4600,0,1000,0,1200000000
172,0,2,2,b,4600,0,2000,0,1200000000
173,0,2,3,a,4600,1200,0,0,1440000000
174,0,2,5,a,4600,1200,750,0,1440000000
175,0,2,3,a,4600,1200,1500,0,1440000000
176,0,2,5,a,4600,1200,2250,0,1440000000
177,0,2,6,b,5600,0,0,0,1200000000
178,0,2,8,b,5600,0,1000,0,1200000000
179,0,2,6,b,5600,0,2000,0,1200000000
180,0,2,1,b,6200,1200,0,0,1200000000
181,0,2,6,b,6200,1200,1000,0,1200000000
182,0,2,2,b,6200,1200,2000,0,1200000000
183,0,2,8,b,6600,0,0,0,1200000000
184,0,2,6,b,6600,0,1000,0,1200000000
185,0,2,8,b,6600,0,2000,0,1200000000
186,0,2,6,b,7200,1200,0,0,1200000000
187,0,2,1,b,7200,1200,1000,0,1200000000
188,0,2,2,b,7200,1200,2000,0,1200000000
189,0,2,8,b,7600,0,0,0,1200000000
190,0,2,6,b,7600,0,1000,0,1200000000
191,0,2,6,b,7600,0,2000,0,1200000000
192,0,2,8,b,8200,1200,0,0,1200000000
193,0,2,1,b,8200,1200,1000,0,1200000000
194,0,2,6,b,8200,1200,2000,0,1200000000
195,0,2,2,b,8600,0,0,0,1200000000
196,0,2,8,b,8600,0,1000,0,1200000000
197,0,2,6,b,8600,0,2000,0,1200000000
198,0,2,8,b,9200,1200,0,0,1200000000
199,0,2,6,b,9200,1200,1000,0,1200000000
200,0,2,1,b,9200,1200,2000,0,1200000000
201,0,2,2,b,9600,0,0,0,1200000000
202,0,2,6,b,9600,0,1000,0,1200000000
203,0,2,6,b,9600,0,2000,0,1200000000
204,0,2,3,a,10200,1200,0,0,1440000000
205,0,2,5,a,10200,1200,750,0,1440000000
206,0,2,3,a,10200,1200,1500,0,1440000000
207,0,2,5,a,10200,1200,2250,0,1440000000
208,0,2,1,b,10600,0,0,0,1200000000
209,0,2,6,b,10600,0,1000,0,1200000000
210,0,2,2,b,10600,0,2000,0,1200000000
211,0,2,6,b,11600,0,0,0,1200000000
