,t,id,ProyectedStock
0,1,1,2225
1,2,1,1943
2,3,1,2362
3,4,1,2151
4,5,1,2582
5,6,1,2211
6,7,1,2002
7,8,1,2422
8,9,1,2118
9,10,1,2480
10,1,2,2338
11,2,2,2036
12,3,2,2360
13,4,2,2104
14,5,2,2606
15,6,2,2217
16,7,2,1950
17,8,2,2403
18,9,2,2084
19,10,2,2449
20,1,3,1224
21,2,3,1175
22,3,3,1279
23,4,3,1171
24,5,3,1207
25,6,3,1233
26,7,3,1132
27,8,3,1208
28,9,3,1169
29,10,3,1296
30,1,4,805
31,2,4,769
32,3,4,854
33,4,4,785
34,5,4,831
35,6,4,830
36,7,4,762
37,8,4,804
38,9,4,792
39,10,4,869
40,1,5,462
41,2,5,444
42,3,5,471
43,4,5,458
44,5,5,498
45,6,5,463
46,7,5,435
47,8,5,474
48,9,5,445
49,10,5,477
