,k,t,i,b,x,y,z,r,Volume
0,0,1,4,b,0,0,0,0,1440000000
1,0,1,3,b,0,0,1000,0,1440000000
2,0,1,4,b,0,0,2000,0,1440000000
3,0,1,1,a,1200,0,0,0,1440000000
4,0,1,5,a,1200,0,750,0,1440000000
5,0,1,5,a,1200,0,1500,0,1440000000
6,0,1,5,a,1200,0,2250,0,1440000000
7,0,1,2,b,2800,0,0,0,1440000000
8,0,1,3,b,2800,0,1000,0,1440000000
9,0,1,4,b,2800,0,2000,0,1440000000
10,0,1,3,b,4000,0,0,0,1440000000
11,0,1,4,b,4000,0,1000,0,1440000000
12,0,1,3,b,4000,0,2000,0,1440000000
13,0,1,4,b,5200,0,0,0,1440000000
14,0,1,3,b,5200,0,1000,0,1440000000
15,0,1,4,b,5200,0,2000,0,1440000000
16,0,1,3,b,6400,0,0,0,1440000000
17,0,1,4,b,6400,0,1000,0,1440000000
18,0,1,3,b,6400,0,2000,0,1440000000
19,0,1,4,b,7600,0,0,0,1440000000
20,0,1,3,b,7600,0,1000,0,1440000000
21,0,1,4,b,7600,0,2000,0,1440000000
22,0,1,3,b,8800,0,0,0,1440000000
23,0,1,4,b,8800,0,1000,0,1440000000
24,0,1,3,b,8800,0,2000,0,1440000000
25,0,1,1,b,10000,0,0,0,1440000000
26,0,1,4,b,10000,0,1000,0,1440000000
27,0,1,3,b,10000,0,2000,0,1440000000
28,0,1,4,b,11200,0,0,0,1440000000
29,0,1,3,b,11200,0,1000,0,1440000000
30,0,1,1,b,11200,0,2000,0,1440000000
31,0,1,4,b,12400,0,0,0,1440000000
32,0,1,3,b,12400,0,1000,0,1440000000
33,0,1,4,b,12400,0,2000,0,1440000000
34,0,1,1,a,0,1200,0,0,1440000000
35,0,1,5,a,0,1200,750,0,1440000000
36,0,1,2,a,0,1200,1500,0,1440000000
37,0,1,5,a,0,1200,2250,0,1440000000
38,0,1,3,b,1600,1200,0,0,1440000000
39,0,1,1,b,1600,1200,1000,0,1440000000
40,0,1,4,b,1600,1200,2000,0,1440000000
41,0,1,3,b,2800,1200,0,0,1440000000
42,0,1,4,b,2800,1200,1000,0,1440000000
43,0,1,2,b,2800,1200,2000,0,1440000000
44,0,1,1,a,4000,1200,0,0,1440000000
45,0,1,5,a,4000,1200,750,0,1440000000
46,0,1,5,a,4000,1200,1500,0,1440000000
47,0,1,2,a,4000,1200,2250,0,1440000000
48,0,1,5,a,5600,1200,0,0,1440000000
49,0,1,1,a,5600,1200,750,0,1440000000
50,0,1,5,a,5600,1200,1500,0,1440000000
51,0,1,2,a,5600,1200,2250,0,1440000000
52,0,1,3,b,7200,1200,0,0,1440000000
53,0,1,4,b,7200,1200,1000,0,1440000000
54,0,1,3,b,7200,1200,2000,0,1440000000
55,0,1,4,b,8400,1200,0,0,1440000000
56,0,1,3,b,8400,1200,1000,0,1440000000
57,0,1,1,b,8400,1200,2000,0,1440000000
58,0,1,4,b,9600,1200,0,0,1440000000
59,0,1,3,b,9600,1200,1000,0,1440000000
60,0,1,2,b,9600,1200,2000,0,1440000000
61,0,1,5,a,10800,1200,0,0,1440000000
62,0,1,1,a,10800,1200,750,0,1440000000
63,0,1,5,a,10800,1200,1500,0,1440000000
64,0,1,2,a,10800,1200,2250,0,1440000000
65,0,1,3,b,12400,1200,0,0,1440000000
66,0,1,3,b,12400,1200,1000,0,1440000000
67,0,1,2,b,12400,1200,2000,0,1440000000
68,1,1,3,b,0,0,0,0,1440000000
69,1,1,3,b,0,0,1000,0,1440000000
70,1,1,3,b,0,0,2000,0,1440000000
71,1,1,3,b,0,1200,0,0,1440000000
72,1,1,3,b,0,1200,1000,0,1440000000
73,1,1,1,b,0,1200,2000,0,1440000000
74,1,1,3,b,1200,0,0,0,1440000000
75,1,1,2,b,1200,0,1000,0,1440000000
76,1,1,3,b,1200,0,2000,0,1440000000
77,1,1,2,a,1200,1200,0,0,1440000000
78,1,1,2,a,1200,1200,750,0,1440000000
79,1,1,1,a,1200,1200,1500,0,1440000000
80,1,1,2,a,1200,1200,2250,0,1440000000
81,1,1,1,b,2400,0,0,0,1440000000
82,1,1,2,b,2400,0,1000,0,1440000000
83,1,1,1,b,2400,0,2000,0,1440000000
84,1,1,1,a,2800,1200,0,0,1440000000
85,1,1,1,a,2800,1200,750,0,1440000000
86,1,1,2,a,2800,1200,1500,0,1440000000
87,1,1,1,a,2800,1200,2250,0,1440000000
88,1,1,2,a,3600,0,0,0,1440000000
89,1,1,2,a,3600,0,750,0,1440000000
90,1,1,1,a,3600,0,1500,0,1440000000
91,1,1,2,a,3600,0,2250,0,1440000000
92,1,1,1,b,4400,1200,0,0,1440000000
93,1,1,2,b,4400,1200,1000,0,1440000000
94,1,1,2,b,4400,1200,2000,0,1440000000
95,1,1,1,b,5200,0,0,0,1440000000
