,id,Products,vA,vB,LargoBox
0,1,4,1,12,1600
1,2,7,1,12,1000
2,4,4,1,12,1000
3,7,7,1,12,1000
4,10,2,1,12,1000
5,11,8,1,12,1000
6,12,7,1,12,1000
7,13,1,1,12,1000
