,t,c,producto,CantidadPedir
278,3,1,6,0
279,3,1,7,0
280,3,1,8,0
281,3,1,9,0
282,3,1,10,0
283,3,1,11,0
284,3,1,12,0
285,3,1,13,0
286,3,2,1,0
287,3,2,2,7
288,3,2,3,0
289,3,2,4,0
290,3,2,5,1
291,3,2,6,0
292,3,2,7,0
293,3,2,8,5
294,3,2,9,12
295,3,2,10,8
296,3,2,11,0
297,3,2,12,6
298,3,2,13,0
299,3,3,1,0
300,3,3,2,0
301,3,3,3,0
302,3,3,4,0
303,3,3,5,0
304,3,3,6,0
305,3,3,7,0
306,3,3,8,0
307,3,3,9,0
308,3,3,10,0
309,3,3,11,0
310,3,3,12,0
311,3,3,13,0
312,3,4,1,0
313,3,4,2,0
314,3,4,3,0
315,3,4,4,0
316,3,4,5,0
317,3,4,6,0
318,3,4,7,0
319,3,4,8,0
320,3,4,9,0
321,3,4,10,0
322,3,4,11,0
323,3,4,12,0
324,3,4,13,0
325,3,5,1,0
326,3,5,2,0
327,3,5,3,0
328,3,5,4,0
329,3,5,5,0
330,3,5,6,0
331,3,5,7,0
332,3,5,8,0
333,3,5,9,0
334,3,5,10,0
335,3,5,11,0
336,3,5,12,0
337,3,5,13,0
338,3,6,1,0
339,3,6,2,0
340,3,6,3,0
341,3,6,4,0
342,3,6,5,0
343,3,6,6,0
344,3,6,7,0
345,3,6,8,0
346,3,6,9,0
347,3,6,10,0
348,3,6,11,0
349,3,6,12,0
350,3,6,13,0
351,3,7,1,0
352,3,7,2,0
353,3,7,3,0
354,3,7,4,0
355,3,7,5,0
356,3,7,6,0
357,3,7,7,0
358,3,7,8,0
359,3,7,9,0
360,3,7,10,0
361,3,7,11,0
362,3,7,12,0
363,3,7,13,0
364,3,8,1,0
365,3,8,2,0
366,3,8,3,0
367,3,8,4,0
368,3,8,5,0
369,3,8,6,0
370,3,8,7,0
371,3,8,8,0
372,3,8,9,0
373,3,8,10,0
374,3,8,11,0
375,3,8,12,0
376,3,8,13,0
377,3,9,1,0
378,3,9,2,0
379,3,9,3,7
380,3,9,4,0
381,3,9,5,2
382,3,9,6,14
383,3,9,7,0
384,3,9,8,2
385,3,9,9,0
386,3,9,10,0
387,3,9,11,12
388,3,9,12,0
389,3,9,13,2
390,4,0,1,0
391,4,0,2,0
392,4,0,3,0
393,4,0,4,0
394,4,0,5,0
395,4,0,6,0
396,4,0,7,0
397,4,0,8,0
398,4,0,9,0
399,4,0,10,0
400,4,0,11,0
401,4,0,12,0
402,4,0,13,0
403,4,1,1,0
404,4,1,2,0
405,4,1,3,0
406,4,1,4,0
407,4,1,5,0
408,4,1,6,0
409,4,1,7,0
410,4,1,8,0
411,4,1,9,0
412,4,1,10,0
413,4,1,11,0
414,4,1,12,0
415,4,1,13,0
416,4,2,1,0
417,4,2,2,0
418,4,2,3,0
419,4,2,4,0
420,4,2,5,0
421,4,2,6,0
422,4,2,7,0
423,4,2,8,0
424,4,2,9,0
425,4,2,10,0
426,4,2,11,0
427,4,2,12,0
428,4,2,13,0
429,4,3,1,0
430,4,3,2,0
431,4,3,3,0
432,4,3,4,0
433,4,3,5,0
434,4,3,6,0
435,4,3,7,0
436,4,3,8,0
437,4,3,9,0
438,4,3,10,0
439,4,3,11,0
440,4,3,12,0
441,4,3,13,0
442,4,4,1,0
443,4,4,2,0
444,4,4,3,0
445,4,4,4,0
446,4,4,5,0
447,4,4,6,0
448,4,4,7,0
449,4,4,8,0
450,4,4,9,0
451,4,4,10,0
452,4,4,11,0
453,4,4,12,0
454,4,4,13,0
455,4,5,1,0
456,4,5,2,0
457,4,5,3,0
458,4,5,4,0
459,4,5,5,0
460,4,5,6,0
461,4,5,7,0
462,4,5,8,0
463,4,5,9,0
464,4,5,10,0
465,4,5,11,0
466,4,5,12,0
467,4,5,13,0
468,4,6,1,0
469,4,6,2,0
470,4,6,3,0
471,4,6,4,0
472,4,6,5,0
473,4,6,6,0
474,4,6,7,0
475,4,6,8,0
476,4,6,9,0
477,4,6,10,0
478,4,6,11,0
479,4,6,12,0
480,4,6,13,0
481,4,7,1,0
482,4,7,2,1
483,4,7,3,9
484,4,7,4,0
485,4,7,5,6
486,4,7,6,0
487,4,7,7,5
488,4,7,8,0
489,4,7,9,0
490,4,7,10,9
491,4,7,11,0
492,4,7,12,9
493,4,7,13,0
494,4,8,1,4
495,4,8,2,8
496,4,8,3,0
497,4,8,4,6
498,4,8,5,1
499,4,8,6,0
500,4,8,7,0
501,4,8,8,9
502,4,8,9,0
503,4,8,10,0
504,4,8,11,4
505,4,8,12,0
506,4,8,13,8
507,4,9,1,0
508,4,9,2,0
509,4,9,3,0
510,4,9,4,0
511,4,9,5,0
512,4,9,6,0
513,4,9,7,0
514,4,9,8,0
515,4,9,9,0
516,4,9,10,0
517,4,9,11,0
518,4,9,12,0
519,4,9,13,0
520,5,0,1,0
521,5,0,2,0
522,5,0,3,0
523,5,0,4,0
524,5,0,5,0
525,5,0,6,0
526,5,0,7,0
527,5,0,8,0
528,5,0,9,0
529,5,0,10,0
530,5,0,11,0
531,5,0,12,0
532,5,0,13,0
533,5,1,1,0
534,5,1,2,0
535,5,1,3,0
536,5,1,4,4
537,5,1,5,0
538,5,1,6,0
539,5,1,7,2
540,5,1,8,0
541,5,1,9,0
542,5,1,10,14
