,id,Products,vA,vB,LargoBox
0,1,4,1,12,1600
1,4,9,1,12,1000
2,5,7,1,12,1000
3,7,4,1,12,1000
4,8,4,1,12,1000
5,11,6,1,12,1000
6,12,6,1,12,1000
