,id,Products,vA,vB,LargoBox
0,1,4,1,12,1600
1,2,3,1,12,1000
2,4,8,1,12,1000
3,6,7,1,12,1000
4,8,6,1,12,1000
5,10,7,1,12,1000
6,13,5,1,12,1000
