,k,t,i,b,x,y,z,r,Volume
127,1,1,1,b,9800,1200,2000,0,1200000000
128,1,1,4,c,10000,0,0,1,1440000000
129,1,1,4,c,10000,0,1000,1,1440000000
130,1,1,4,c,10000,0,2000,1,1440000000
131,1,1,4,c,11800,0,0,1,1440000000
132,1,1,4,c,11800,0,1000,1,1440000000
133,1,1,4,c,11800,0,2000,1,1440000000
134,1,1,2,b,10800,800,0,0,1200000000
135,1,1,1,b,10800,800,1000,0,1200000000
136,1,1,2,b,10800,800,2000,0,1200000000
137,1,1,4,c,11800,800,0,1,1440000000
138,1,1,4,c,11800,800,1000,1,1440000000
139,1,1,4,c,11800,800,2000,1,1440000000
140,1,1,4,c,11800,1600,0,1,1440000000
141,1,1,4,c,11800,1600,1000,1,1440000000
142,1,1,4,c,11800,1600,2000,1,1440000000
143,2,1,2,b,0,0,0,0,1200000000
144,2,1,2,b,0,0,1000,0,1200000000
145,2,1,2,b,0,0,2000,0,1200000000
146,2,1,3,a,0,1200,0,0,1440000000
147,2,1,3,a,0,1200,750,0,1440000000
148,2,1,5,a,0,1200,1500,0,1440000000
149,2,1,9,a,0,1200,2250,0,1440000000
150,2,1,3,a,1000,0,0,0,1440000000
151,2,1,3,a,1000,0,750,0,1440000000
152,2,1,5,a,1000,0,1500,0,1440000000
153,2,1,3,a,1000,0,2250,0,1440000000
154,2,1,2,b,1600,1200,0,0,1200000000
155,2,1,8,b,1600,1200,1000,0,1200000000
156,2,1,1,b,1600,1200,2000,0,1200000000
157,2,1,2,b,2600,0,0,0,1200000000
158,2,1,6,b,2600,0,1000,0,1200000000
159,2,1,1,b,2600,0,2000,0,1200000000
160,2,1,2,b,2600,1200,0,0,1200000000
161,2,1,1,b,2600,1200,1000,0,1200000000
162,2,1,2,b,2600,1200,2000,0,1200000000
163,2,1,3,a,3600,0,0,1,1440000000
164,2,1,3,a,3600,0,750,1,1440000000
165,2,1,5,a,3600,0,1500,1,1440000000
166,2,1,3,a,3600,0,2250,1,1440000000
167,2,1,3,a,4800,0,0,1,1440000000
168,2,1,3,a,4800,0,750,1,1440000000
169,2,1,5,a,4800,0,1500,1,1440000000
170,2,1,3,a,4800,0,2250,1,1440000000
171,2,1,1,b,6000,0,0,0,1200000000
172,2,1,2,b,6000,0,1000,0,1200000000
173,2,1,6,b,6000,0,2000,0,1200000000
174,2,1,1,b,6000,1200,0,0,1200000000
175,2,1,8,b,6000,1200,1000,0,1200000000
176,2,1,2,b,6000,1200,2000,0,1200000000
177,2,1,4,c,3600,1600,0,1,1440000000
178,2,1,4,c,3600,1600,1000,1,1440000000
179,2,1,4,c,3600,1600,2000,1,1440000000
180,2,1,3,a,7000,0,0,1,1440000000
181,2,1,3,a,7000,0,750,1,1440000000
182,2,1,5,a,7000,0,1500,1,1440000000
183,2,1,3,a,7000,0,2250,1,1440000000
184,2,1,3,a,8200,0,0,1,1440000000
185,2,1,5,a,8200,0,750,1,1440000000
186,2,1,3,a,8200,0,1500,1,1440000000
187,2,1,9,a,8200,0,2250,1,1440000000
188,2,1,3,a,9400,0,0,1,1440000000
189,2,1,3,a,9400,0,750,1,1440000000
190,2,1,5,a,9400,0,1500,1,1440000000
191,2,1,3,a,9400,0,2250,1,1440000000
192,2,1,7,c,7000,1600,0,1,1440000000
193,2,1,4,c,7000,1600,1000,1,1440000000
194,2,1,4,c,7000,1600,2000,1,1440000000
195,2,1,7,c,8800,1600,0,1,1440000000
196,2,1,4,c,8800,1600,1000,1,1440000000
197,2,1,4,c,8800,1600,2000,1,1440000000
198,2,1,1,b,10600,0,0,0,1200000000
199,2,1,2,b,10600,0,1000,0,1200000000
200,2,1,6,b,10600,0,2000,0,1200000000
201,2,1,1,b,10600,1200,0,0,1200000000
202,2,1,2,b,10600,1200,1000,0,1200000000
203,2,1,1,b,10600,1200,2000,0,1200000000
204,2,1,4,c,11600,0,0,1,1440000000
205,2,1,7,c,11600,0,1000,1,1440000000
206,2,1,4,c,11600,0,2000,1,1440000000
207,2,1,10,c,11600,800,0,1,1440000000
208,2,1,4,c,11600,800,1000,1,1440000000
209,2,1,7,c,11600,800,2000,1,1440000000
210,2,1,4,c,11600,1600,0,1,1440000000
211,2,1,4,c,11600,1600,1000,1,1440000000
212,2,1,4,c,11600,1600,2000,1,1440000000
213,0,2,5,a,0,0,0,0,1440000000
214,0,2,3,a,0,0,750,0,1440000000
215,0,2,5,a,0,0,1500,0,1440000000
216,0,2,3,a,0,0,2250,0,1440000000
217,0,2,8,b,0,1200,0,0,1200000000
218,0,2,6,b,0,1200,1000,0,1200000000
219,0,2,2,b,0,1200,2000,0,1200000000
220,0,2,6,b,1000,1200,0,0,1200000000
221,0,2,8,b,1000,1200,1000,0,1200000000
222,0,2,6,b,1000,1200,2000,0,1200000000
223,0,2,1,b,1600,0,0,0,1200000000
224,0,2,8,b,1600,0,1000,0,1200000000
225,0,2,2,b,1600,0,2000,0,1200000000
226,0,2,6,b,2000,1200,0,0,1200000000
227,0,2,8,b,2000,1200,1000,0,1200000000
228,0,2,6,b,2000,1200,2000,0,1200000000
229,0,2,1,b,2600,0,0,0,1200000000
230,0,2,6,b,2600,0,1000,0,1200000000
231,0,2,2,b,2600,0,2000,0,1200000000
232,0,2,8,b,3000,1200,0,0,1200000000
233,0,2,6,b,3000,1200,1000,0,1200000000
234,0,2,8,b,3000,1200,2000,0,1200000000
235,0,2,6,b,3600,0,0,0,1200000000
236,0,2,1,b,3600,0,1000,0,1200000000
237,0,2,2,b,3600,0,2000,0,1200000000
238,0,2,8,b,4000,1200,0,0,1200000000
239,0,2,6,b,4000,1200,1000,0,1200000000
240,0,2,6,b,4000,1200,2000,0,1200000000
241,0,2,7,c,4600,0,0,1,1440000000
242,0,2,10,c,4600,0,1000,1,1440000000
243,0,2,4,c,4600,0,2000,1,1440000000
244,0,2,7,c,5000,800,0,1,1440000000
245,0,2,4,c,5000,800,1000,1,1440000000
246,0,2,7,c,5000,800,2000,1,1440000000
247,0,2,8,b,6800,0,0,0,1200000000
248,0,2,1,b,6800,0,1000,0,1200000000
249,0,2,6,b,6800,0,2000,0,1200000000
250,0,2,4,c,5000,1600,0,1,1440000000
251,0,2,4,c,5000,1600,1000,1,1440000000
252,0,2,4,c,5000,1600,2000,1,1440000000
253,0,2,2,b,6800,1200,0,0,1200000000
