,t,id,ProyectedStock
0,1,1,1835
1,2,1,1943
2,3,1,2092
3,4,1,2301
4,5,1,1892
5,6,1,1971
6,7,1,2182
7,8,1,2212
8,9,1,1938
9,10,1,2030
10,1,2,1918
11,2,2,1946
12,3,2,2150
13,4,2,2044
14,5,2,1916
15,6,2,2037
16,7,2,1980
17,8,2,2133
18,9,2,1874
19,10,2,2029
20,1,3,1179
21,2,3,1190
22,3,3,1189
23,4,3,1261
24,5,3,1132
25,6,3,1173
26,7,3,1192
27,8,3,1208
28,9,3,1124
29,10,3,1146
30,1,4,775
31,2,4,769
32,3,4,809
33,4,4,800
34,5,4,786
35,6,4,800
36,7,4,777
37,8,4,804
38,9,4,762
39,10,4,794
40,1,5,438
41,2,5,480
42,3,5,483
43,4,5,482
44,5,5,450
45,6,5,451
46,7,5,447
47,8,5,522
48,9,5,457
49,10,5,453
50,1,6,734
51,2,6,746
52,3,6,729
53,4,6,740
54,5,6,718
55,6,6,738
56,7,6,784
57,8,6,757
58,9,6,741
59,10,6,736
60,1,7,321
61,2,7,342
62,3,7,335
63,4,7,343
64,5,7,318
65,6,7,324
66,7,7,351
67,8,7,345
68,9,7,333
69,10,7,325
70,1,8,426
71,2,8,441
72,3,8,458
73,4,8,490
74,5,8,441
75,6,8,449
76,7,8,458
77,8,8,456
78,9,8,430
79,10,8,444
80,1,9,97
81,2,9,92
82,3,9,100
83,4,9,94
84,5,9,89
85,6,9,95
86,7,9,91
87,8,9,98
88,9,9,94
89,10,9,90
90,1,10,89
91,2,10,105
92,3,10,105
93,4,10,107
94,5,10,91
95,6,10,91
96,7,10,107
97,8,10,109
98,9,10,96
99,10,10,95
100,1,11,90
101,2,11,107
102,3,11,92
103,4,11,107
104,5,11,94
105,6,11,96
106,7,11,96
107,8,11,96
108,9,11,97
109,10,11,98
110,1,12,97
111,2,12,92
112,3,12,100
113,4,12,96
114,5,12,92
115,6,12,100
116,7,12,95
117,8,12,103
118,9,12,97
119,10,12,92
120,1,13,1990
121,2,13,2001
122,3,13,2284
123,4,13,2205
124,5,13,2052
125,6,13,2204
126,7,13,2151
127,8,13,2414
128,9,13,2009
129,10,13,2261
130,1,14,97
131,2,14,93
132,3,14,88
133,4,14,107
134,5,14,103
135,6,14,99
136,7,14,94
137,8,14,89
138,9,14,84
139,10,14,102
140,1,15,1984
141,2,15,2057
142,3,15,1931
143,4,15,2105
144,5,15,1961
145,6,15,1990
146,7,15,2179
147,8,15,2047
148,9,15,1984
149,10,15,1990
