,t,id,ProyectedStock
0,1,1,2165
1,2,1,1943
2,3,1,2392
3,4,1,2091
4,5,1,2462
5,6,1,2211
6,7,1,1972
7,8,1,2332
8,9,1,2148
9,10,1,2540
10,1,2,2248
11,2,2,2006
12,3,2,2420
13,4,2,2074
14,5,2,2456
15,6,2,2247
16,7,2,1920
17,8,2,2313
18,9,2,2114
19,10,2,2539
20,1,3,1269
21,2,3,1175
22,3,3,1234
23,4,3,1186
24,5,3,1297
25,6,3,1218
26,7,3,1132
27,8,3,1238
28,9,3,1124
29,10,3,1221
30,1,4,835
31,2,4,769
32,3,4,824
33,4,4,815
34,5,4,876
35,6,4,815
36,7,4,762
37,8,4,834
38,9,4,762
39,10,4,824
40,1,5,462
41,2,5,444
42,3,5,483
43,4,5,446
44,5,5,486
45,6,5,463
46,7,5,435
47,8,5,474
48,9,5,457
49,10,5,489
