,t,id,ProyectedStock
0,1,1,2225
1,2,1,1943
2,3,1,1912
3,4,1,2121
4,5,1,2252
5,6,1,1911
6,7,1,2062
7,8,1,2092
8,9,1,2268
9,10,1,2330
10,1,2,2128
11,2,2,2066
12,3,2,2120
13,4,2,2014
14,5,2,2066
15,6,2,1977
16,7,2,2040
17,8,2,2073
18,9,2,2024
19,10,2,2089
20,1,3,1299
21,2,3,1190
22,3,3,1129
23,4,3,1201
24,5,3,1252
25,6,3,1158
26,7,3,1162
27,8,3,1178
28,9,3,1229
29,10,3,1251
30,1,4,820
31,2,4,799
32,3,4,809
33,4,4,800
34,5,4,816
35,6,4,785
36,7,4,792
37,8,4,789
38,9,4,792
39,10,4,794
40,1,5,474
41,2,5,444
42,3,5,447
43,4,5,482
44,5,5,450
45,6,5,451
46,7,5,483
47,8,5,450
48,9,5,457
49,10,5,453
50,1,6,794
51,2,6,722
52,3,6,753
53,4,6,764
54,5,6,766
55,6,6,726
56,7,6,736
57,8,6,769
58,9,6,789
59,10,6,796
60,1,7,353
61,2,7,326
62,3,7,351
63,4,7,359
64,5,7,350
65,6,7,324
66,7,7,335
67,8,7,345
68,9,7,349
69,10,7,357
70,1,8,454
71,2,8,441
72,3,8,444
73,4,8,462
74,5,8,483
75,6,8,435
76,7,8,444
77,8,8,442
78,9,8,458
79,10,8,472
80,1,9,97
81,2,9,92
82,3,9,100
83,4,9,94
84,5,9,101
85,6,9,95
86,7,9,91
87,8,9,98
88,9,9,94
89,10,9,90
90,1,10,104
91,2,10,105
92,3,10,90
93,4,10,107
94,5,10,106
95,6,10,91
96,7,10,92
97,8,10,94
98,9,10,96
99,10,10,110
100,1,11,105
101,2,11,92
102,3,11,107
103,4,11,107
104,5,11,109
105,6,11,96
106,7,11,96
107,8,11,96
108,9,11,97
109,10,11,113
110,1,12,97
111,2,12,92
112,3,12,88
113,4,12,96
114,5,12,92
115,6,12,100
116,7,12,95
117,8,12,91
118,9,12,97
119,10,12,92
120,1,13,2342
121,2,13,2133
122,3,13,2240
123,4,13,2117
124,5,13,2228
125,6,13,2072
126,7,13,2283
127,8,13,2326
128,9,13,2229
129,10,13,2305
130,1,14,97
131,2,14,93
132,3,14,88
133,4,14,107
134,5,14,103
135,6,14,99
136,7,14,94
137,8,14,89
138,9,14,106
139,10,14,102
140,1,15,2204
141,2,15,1881
142,3,15,2107
143,4,15,2171
144,5,15,2203
145,6,15,1946
146,7,15,1959
147,8,15,2091
148,9,15,2182
149,10,15,2276
