,t,c,id,Products,vA,vB,LargoBox,Volumen
138,11,1,6,5,6,4,1600,1.0
139,11,1,7,4,6,4,1600,1.0
140,11,1,8,2,6,4,1600,1.0
141,11,1,9,2,6,4,1600,1.0
142,11,1,10,3,6,4,1600,1.0
143,11,1,11,5,6,4,1600,1.0
144,11,1,12,3,6,4,1600,1.0
145,11,1,15,12,6,4,1000,1.0
146,11,2,2,11,6,4,1600,1.0
147,11,2,3,5,6,4,1600,1.0
148,11,2,6,8,6,4,1600,1.0
149,11,2,15,12,6,4,1000,1.0
150,11,3,3,13,6,4,1600,1.0
151,11,3,4,5,6,4,1600,1.0
152,11,3,6,4,6,4,1600,1.0
153,11,3,9,1,6,4,1600,1.0
154,11,3,10,1,6,4,1600,1.0
155,11,3,13,4,6,4,1000,1.0
156,11,3,14,1,6,4,1000,1.0
157,11,3,15,7,6,4,1000,1.0
158,12,1,4,14,8,0,1600,0.9411764705882353
159,12,1,5,11,8,0,1600,0.9411764705882353
160,12,1,7,7,8,0,1600,0.9411764705882353
161,12,2,2,16,8,0,1600,0.9411764705882353
162,12,2,3,13,8,0,1600,0.9411764705882353
163,12,2,6,3,8,0,1600,0.9411764705882353
164,13,1,2,13,6,4,1600,1.0
165,13,1,4,1,6,4,1600,1.0
166,13,1,6,10,6,4,1600,1.0
167,13,1,15,12,6,4,1000,1.0
168,13,2,3,24,6,4,1600,1.0
169,13,2,13,12,6,4,1000,1.0
170,14,1,2,2,6,4,1600,1.0
171,14,1,3,17,6,4,1600,1.0
172,14,1,7,4,6,4,1600,1.0
173,14,1,12,1,6,4,1600,1.0
174,14,1,14,3,6,4,1000,1.0
175,14,1,15,9,6,4,1000,1.0
176,14,2,3,24,6,4,1600,1.0
177,14,2,15,12,6,4,1000,1.0
178,14,3,3,9,8,0,1600,0.9411764705882353
179,14,3,4,8,8,0,1600,0.9411764705882353
180,14,3,6,10,8,0,1600,0.9411764705882353
181,14,3,8,5,8,0,1600,0.9411764705882353
182,14,4,5,5,6,4,1600,1.0
183,14,4,8,18,6,4,1600,1.0
184,14,4,9,1,6,4,1600,1.0
185,14,4,13,12,6,4,1000,1.0
186,15,1,2,10,7,2,1600,0.9705882352941176
187,15,1,4,15,7,2,1600,0.9705882352941176
188,15,1,11,3,7,2,1600,0.9705882352941176
189,15,1,15,6,7,2,1000,0.9705882352941176
190,15,2,4,13,8,0,1600,0.9411764705882353
191,15,2,6,17,8,0,1600,0.9411764705882353
192,15,2,10,1,8,0,1600,0.9411764705882353
193,15,2,12,1,8,0,1600,0.9411764705882353
194,15,3,1,31,8,0,1600,0.9411764705882353
195,15,3,10,1,8,0,1600,0.9411764705882353
196,15,4,2,3,8,0,1600,0.9411764705882353
197,15,4,3,20,8,0,1600,0.9411764705882353
198,15,4,7,3,8,0,1600,0.9411764705882353
199,15,4,8,5,8,0,1600,0.9411764705882353
200,15,4,9,1,8,0,1600,0.9411764705882353
201,16,1,4,23,8,0,1600,0.9411764705882353
202,16,1,7,2,8,0,1600,0.9411764705882353
203,16,1,8,4,8,0,1600,0.9411764705882353
204,16,1,10,1,8,0,1600,0.9411764705882353
205,16,1,12,2,8,0,1600,0.9411764705882353
206,16,2,2,5,6,4,1600,1.0
207,16,2,6,18,6,4,1600,1.0
208,16,2,10,1,6,4,1600,1.0
209,16,2,15,12,6,4,1000,1.0
210,16,3,2,2,6,4,1600,1.0
211,16,3,6,1,6,4,1600,1.0
212,16,3,7,16,6,4,1600,1.0
213,16,3,9,3,6,4,1600,1.0
214,16,3,12,2,6,4,1600,1.0
215,16,3,15,12,6,4,1000,1.0
216,17,1,2,22,6,4,1600,1.0
217,17,1,6,2,6,4,1600,1.0
218,17,1,15,12,6,4,1000,1.0
219,17,2,5,24,6,4,1600,1.0
220,17,2,13,5,6,4,1000,1.0
221,17,2,15,7,6,4,1000,1.0
222,19,1,1,22,6,4,1600,1.0
223,19,1,10,2,6,4,1600,1.0
224,19,1,14,1,6,4,1000,1.0
225,19,1,15,11,6,4,1000,1.0
226,19,2,2,8,6,4,1600,1.0
227,19,2,6,12,6,4,1600,1.0
228,19,2,9,2,6,4,1600,1.0
229,19,2,11,2,6,4,1600,1.0
230,19,2,13,7,6,4,1000,1.0
231,19,2,15,5,6,4,1000,1.0
232,20,1,2,11,6,4,1600,1.0
233,20,1,3,3,6,4,1600,1.0
234,20,1,6,7,6,4,1600,1.0
235,20,1,8,2,6,4,1600,1.0
236,20,1,12,1,6,4,1600,1.0
237,20,1,15,12,6,4,1000,1.0
