,id,Products,vA,vB,LargoBox
0,1,3,6,4,1600
1,3,5,6,4,1600
2,6,15,6,4,1600
3,11,1,6,4,1600
4,13,10,6,4,1000
5,14,1,6,4,1000
6,15,1,6,4,1000
