,id,Products,vA,vB,LargoBox
0,6,5,6,4,1600
1,7,4,6,4,1600
2,8,2,6,4,1600
3,9,2,6,4,1600
4,10,3,6,4,1600
5,11,5,6,4,1600
6,12,3,6,4,1600
7,15,12,6,4,1000
