,id,Products,vA,vB,LargoBox
0,3,2,6,4,1600
1,4,11,6,4,1600
2,5,2,6,4,1600
3,7,7,6,4,1600
4,11,1,6,4,1600
5,12,1,6,4,1600
6,14,2,6,4,1000
7,15,10,6,4,1000
